distribution,nu,alloc_index,n1,n2,rho,rep,L0,L_dense,L_RBPB,m_dense,m_rbpb,eps_hat,tau,zero,sentinel,sentinel_falling,mcse_at_pick,cond_source,cond_target,runtime_s,B,boot_seed,n_warnings,failure
t5,5.0,0,48,192,0.25,59,0.4746098464878549,0.5809753597715954,0.5027082270106316,31.0,18.0,0.35186610887026676,0.019548117159459266,False,False,False,0.0045326474973576055,7.851568135317615,4.111581785708158,0.0062882910133339465,250,"(20260922, 1, 0, 0, 59)",0,
t5,5.0,0,48,192,0.25,60,1.541867959190166,0.7658711379208594,0.9921843395841989,31.0,18.0,0.29263440440852173,0.016257466911584542,False,False,False,0.0059906536198924215,11.153762373671315,5.120868849772311,0.00588795798830688,250,"(20260922, 1, 0, 0, 60)",0,
t5,5.0,0,48,192,0.25,61,0.29965062048087454,0.26268102348442224,0.23582017937445793,31.0,16.0,0.3136239916186204,0.019601499476163776,False,False,False,0.00452309727526687,6.085714740939249,4.3184961700377364,0.006087375048082322,250,"(20260922, 1, 0, 0, 61)",0,
t5,5.0,0,48,192,0.25,62,0.5919904799041142,0.45865397609080294,0.4605248202629382,31.0,18.0,0.3237541328424903,0.017986340713471684,False,False,False,0.004870643585277646,7.407423084227205,4.474566868056738,0.006117208977229893,250,"(20260922, 1, 0, 0, 62)",0,
t5,5.0,0,48,192,0.25,63,0.31990668108095344,0.3785305127600783,0.3160653689574342,31.0,18.0,0.34676140869995553,0.019264522705553084,False,False,False,0.00576082316760714,6.020408020792358,5.264891883564177,0.006108083005528897,250,"(20260922, 1, 0, 0, 63)",0,
t5,5.0,0,48,192,0.25,64,0.9066380458113558,0.7945543292893609,0.7968530091030516,31.0,18.0,0.3539610601971481,0.019664503344286006,False,False,False,0.005252596028021945,7.639004726553234,4.869743994076797,0.006110833957791328,250,"(20260922, 1, 0, 0, 64)",0,
t5,5.0,0,48,192,0.25,65,0.3567145760670458,0.4137387302869364,0.3541527853920422,31.0,18.0,0.3358247168982234,0.018656928716567968,False,False,False,0.004864795939728882,6.249621996831667,3.9542102202415967,0.006114125018939376,250,"(20260922, 1, 0, 0, 65)",0,
t5,5.0,0,48,192,0.25,66,0.1918529328036953,0.31238155750973995,0.2277007126097842,31.0,18.0,0.3541974085667143,0.019677633809261904,False,False,False,0.004958528044368055,4.327425031034901,5.0656350955272975,0.006143582984805107,250,"(20260922, 1, 0, 0, 66)",0,
t5,5.0,0,48,192,0.25,67,0.48461894005285894,0.3669717055541735,0.3619647211946792,31.0,18.0,0.3139753543579202,0.017443075242106677,False,False,False,0.00485771841938592,13.274119607838111,5.1428344511503274,0.006122875027358532,250,"(20260922, 1, 0, 0, 67)",0,
t5,5.0,0,48,192,0.25,68,0.4373907768202558,0.43939885408810736,0.39881987077291525,31.0,18.0,0.392055412162875,0.021780856231270834,False,False,False,0.005781044323445299,4.686620036957639,7.593425194949202,0.006085792032536119,250,"(20260922, 1, 0, 0, 68)",0,
t5,5.0,0,48,192,0.25,69,0.584814324368078,0.3019763556389604,0.3475118065786048,31.0,18.0,0.26253497055603336,0.014585276142001854,False,False,False,0.004336970087551997,10.528405438620696,4.676083735190277,0.006154708040412515,250,"(20260922, 1, 0, 0, 69)",0,
