cell,rep,B,pick,ref_pick,agree,regret,regret_pos,regret_se,zero,top
P0,26,250,4.0,5.0,False,0.000853945225366613,0.000853945225366613,0.00038003691166655094,False,False
P0,26,500,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,26,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,26,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,26,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,26,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,27,250,6.0,5.0,False,0.001310818483685526,0.001310818483685526,0.00037638490583953663,False,False
P0,27,500,6.0,5.0,False,0.001310818483685526,0.001310818483685526,0.00037638490583953663,False,False
P0,27,1000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,27,2000,6.0,5.0,False,0.001310818483685526,0.001310818483685526,0.00037638490583953663,False,False
P0,27,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,27,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,28,250,4.0,5.0,False,0.0005490837371534498,0.0005490837371534498,0.0003811667346854958,False,False
P0,28,500,3.0,5.0,False,0.0028024099088370777,0.0028024099088370777,0.0007683075924284314,False,False
P0,28,1000,4.0,5.0,False,0.0005490837371534498,0.0005490837371534498,0.0003811667346854958,False,False
P0,28,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,28,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,28,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,29,250,4.0,5.0,False,0.0008874536237766966,0.0008874536237766966,0.00038700716652510683,False,False
P0,29,500,4.0,5.0,False,0.0008874536237766966,0.0008874536237766966,0.00038700716652510683,False,False
P0,29,1000,4.0,5.0,False,0.0008874536237766966,0.0008874536237766966,0.00038700716652510683,False,False
P0,29,2000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,29,4000,5.0,5.0,True,0.0,0.0,0.0,False,False
P0,29,8000,5.0,5.0,True,0.0,0.0,0.0,False,False
P2,0,250,12.0,10.0,False,0.0009054853759838197,0.0009054853759838197,0.00021106809414425364,False,False
P2,0,500,11.0,10.0,False,-1.2357865122039479e-05,0.0,0.00010639285286617592,False,False
P2,0,1000,11.0,10.0,False,-1.2357865122039479e-05,0.0,0.00010639285286617592,False,False
P2,0,2000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,0,4000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,0,8000,10.0,10.0,True,0.0,0.0,0.0,False,False
P2,1,250,10.0,11.0,False,0.00015368949463015372,0.00015368949463015372,0.0001013958190686355,False,False
P2,1,500,10.0,11.0,False,0.00015368949463015372,0.00015368949463015372,0.0001013958190686355,False,False
P2,1,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,1,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,1,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,1,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,2,250,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,2,500,10.0,11.0,False,3.866438900860451e-05,3.866438900860451e-05,0.00010522341484232742,False,False
P2,2,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,2,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,2,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,2,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,3,250,10.0,11.0,False,0.00012095701209334842,0.00012095701209334842,0.000109078767979943,False,False
P2,3,500,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,3,1000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,3,2000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,3,4000,11.0,11.0,True,0.0,0.0,0.0,False,False
P2,3,8000,11.0,11.0,True,0.0,0.0,0.0,False,False
