cell,rep,base_pick,ref_pick,regret,regret_pos,regret_se,falling_24_32
P5,8,16.0,18.0,0.00020119532346687675,0.00020119532346687675,6.28733855632303e-05,False
P5,9,16.0,18.0,7.821311395194233e-05,7.821311395194233e-05,6.455159721201808e-05,False
P5,10,16.0,18.0,2.3974322672022773e-05,2.3974322672022773e-05,6.53639026815274e-05,False
P5,11,16.0,18.0,0.00012222588788102245,0.00012222588788102245,7.108003590543079e-05,False
P5,12,16.0,18.0,0.00012763788262739643,0.00012763788262739643,6.377650723433862e-05,False
P5,13,16.0,18.0,-4.790568141367631e-05,0.0,6.631524555497272e-05,False
P5,14,16.0,18.0,6.88135127033671e-05,6.88135127033671e-05,6.942897189038539e-05,False
P5,15,16.0,18.0,-4.4820314834512737e-05,0.0,7.243646822357093e-05,False
P5,16,16.0,16.0,0.0,0.0,0.0,False
P5,17,16.0,18.0,9.016696766388942e-05,9.016696766388942e-05,7.248488449406246e-05,False
P5,18,16.0,16.0,0.0,0.0,0.0,False
P5,19,16.0,18.0,7.78180724297275e-05,7.78180724297275e-05,6.548307656244953e-05,False
P5,20,16.0,16.0,0.0,0.0,0.0,False
P5,21,16.0,18.0,0.0001476819777324597,0.0001476819777324597,6.677590610185625e-05,False
P5,22,16.0,18.0,-4.6006236262815044e-05,0.0,6.611301107380665e-05,False
P5,23,16.0,16.0,0.0,0.0,0.0,False
P5,24,16.0,18.0,9.88508393007382e-06,9.88508393007382e-06,6.936620666245133e-05,False
P5,25,16.0,16.0,0.0,0.0,0.0,False
P5,26,16.0,18.0,-5.649637586961871e-05,0.0,6.595673438679614e-05,False
P5,27,16.0,18.0,6.641720363877073e-05,6.641720363877073e-05,6.313251177876458e-05,False
P5,28,16.0,16.0,0.0,0.0,0.0,False
P5,29,16.0,16.0,0.0,0.0,0.0,False
